"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Clicking a service card navigates to that service's dedicated drill-down route.","3546","a card links to its drill-down page","UI Tests","2026-07-27","passed","2026-07-27","dashboard index (healthy profile)","","",""
"Submitting a valid email with the wrong password surfaces an inline error instead of granting access.","543","rejects invalid credentials","UI Tests","2026-07-27","passed","2026-07-27","login","","",""
"An unauthenticated visitor hitting the dashboard root is bounced to the login page instead of seeing any data.","410","redirects unauthenticated visitors to /login","UI Tests","2026-07-27","passed","2026-07-27","login","","",""
"The dashboard shows a staging banner and a ""(Staging)"" title suffix on the stage environment, and neither on prod — same assertions, driven entirely by the injected env fixture.","803","shows the environment-appropriate banner and title","UI Tests","2026-07-27","passed","2026-07-27","environment chrome","","",""
"","3775","authenticate as outage mock user","setup-outage-prod","2026-07-27","passed","2026-07-27","","","",""
"","951","authenticate as healthy mock user","setup-healthy-prod","2026-07-27","passed","2026-07-27","","","",""
"The dashboard index groups every service under its domain heading and renders one card per service, across all four domains.","1096","renders all four domain sections with their service cards","UI Tests","2026-07-27","passed","2026-07-27","dashboard index (healthy profile)","","",""
"","1009","authenticate as healthy mock user","setup-healthy-stage","2026-07-27","passed","2026-07-27","","","",""
"The dashboard shows a staging banner and a ""(Staging)"" title suffix on the stage environment, and neither on prod — same assertions, driven entirely by the injected env fixture.","733","shows the environment-appropriate banner and title","UI Tests","2026-07-27","passed","2026-07-27","environment chrome","","",""
"In the healthy profile, the Gateway API drill-down shows a normal (non-spiked) P95 latency stat.","899","backend API shows a normal P95 latency","UI Tests","2026-07-27","passed","2026-07-27","service detail (healthy profile)","","",""
"In the outage profile, the ETL pipeline drill-down lists its quarantined rows from the failed validation run.","856","ETL pipeline shows its quarantined rows","UI Tests","2026-07-27","passed","2026-07-27","service detail (outage profile)","","",""
"An unauthenticated visitor hitting the dashboard root is bounced to the login page instead of seeing any data.","411","redirects unauthenticated visitors to /login","UI Tests","2026-07-27","passed","2026-07-27","login","","",""
"A valid email/password pair authenticates the user and lands them on the dashboard with service cards rendered.","1099","logs in with valid credentials and reaches the dashboard","UI Tests","2026-07-27","passed","2026-07-27","login","","",""
"In the outage profile, a failed frontend smoke test surfaces its assertion stack trace on the drill-down page.","1009","frontend smoke test shows its failure stack trace","UI Tests","2026-07-27","passed","2026-07-27","service detail (outage profile)","","",""
"In the healthy mock profile, every one of the 8 services reports an ""operational"" status badge.","1020","every service shows as operational","UI Tests","2026-07-27","passed","2026-07-27","dashboard index (healthy profile)","","",""
"In the healthy profile, the ETL pipeline drill-down reports zero quarantined rows.","951","ETL pipeline has no quarantined rows","UI Tests","2026-07-27","passed","2026-07-27","service detail (healthy profile)","","",""
"Submitting a valid email with the wrong password surfaces an inline error instead of granting access.","524","rejects invalid credentials","UI Tests","2026-07-27","passed","2026-07-27","login","","",""
"In the outage profile, the ETL pipeline drill-down lists its quarantined rows from the failed validation run.","952","ETL pipeline shows its quarantined rows","UI Tests","2026-07-27","passed","2026-07-27","service detail (outage profile)","","",""
"In the outage profile, the Gateway API drill-down reflects the mock latency spike (4500ms).","754","backend API shows the latency spike","UI Tests","2026-07-27","passed","2026-07-27","service detail (outage profile)","","",""
"In the healthy mock profile, every one of the 8 services reports an ""operational"" status badge.","986","every service shows as operational","UI Tests","2026-07-27","passed","2026-07-27","dashboard index (healthy profile)","","",""
"In the outage profile, the Gateway API drill-down reflects the mock latency spike (4500ms).","1037","backend API shows the latency spike","UI Tests","2026-07-27","passed","2026-07-27","service detail (outage profile)","","",""
"A valid email/password pair authenticates the user and lands them on the dashboard with service cards rendered.","1024","logs in with valid credentials and reaches the dashboard","UI Tests","2026-07-27","passed","2026-07-27","login","","",""
"In the healthy profile, the Gateway API drill-down shows a normal (non-spiked) P95 latency stat.","945","backend API shows a normal P95 latency","UI Tests","2026-07-27","passed","2026-07-27","service detail (healthy profile)","","",""
"","2707","authenticate as outage mock user","setup-outage-stage","2026-07-27","passed","2026-07-27","","","",""
"In the healthy profile, the ETL pipeline drill-down reports zero quarantined rows.","793","ETL pipeline has no quarantined rows","UI Tests","2026-07-27","passed","2026-07-27","service detail (healthy profile)","","",""
"The dashboard index groups every service under its domain heading and renders one card per service, across all four domains.","951","renders all four domain sections with their service cards","UI Tests","2026-07-27","passed","2026-07-27","dashboard index (healthy profile)","","",""
"Clicking a service card navigates to that service's dedicated drill-down route.","3401","a card links to its drill-down page","UI Tests","2026-07-27","passed","2026-07-27","dashboard index (healthy profile)","","",""
"In the outage profile, a failed frontend smoke test surfaces its assertion stack trace on the drill-down page.","725","frontend smoke test shows its failure stack trace","UI Tests","2026-07-27","passed","2026-07-27","service detail (outage profile)","","",""
