"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"In the outage profile, the Gateway API drill-down reflects the mock latency spike (4500ms).","938","backend API shows the latency spike","UI Tests","2026-08-28","passed","2026-08-28","service detail (outage profile)","","",""
"An unauthenticated visitor hitting the dashboard root is bounced to the login page instead of seeing any data.","462","redirects unauthenticated visitors to /login","UI Tests","2026-08-28","passed","2026-08-28","login","","",""
"In the outage profile, a failed frontend smoke test surfaces its assertion stack trace on the drill-down page.","1061","frontend smoke test shows its failure stack trace","UI Tests","2026-08-28","passed","2026-08-28","service detail (outage profile)","","",""
"In the healthy profile, the ETL pipeline drill-down reports zero quarantined rows.","823","ETL pipeline has no quarantined rows","UI Tests","2026-08-28","passed","2026-08-28","service detail (healthy profile)","","",""
"Clicking a service card navigates to that service's dedicated drill-down route.","3767","a card links to its drill-down page","UI Tests","2026-08-28","passed","2026-08-28","dashboard index (healthy profile)","","",""
"The dashboard shows a staging banner and a ""(Staging)"" title suffix on the stage environment, and neither on prod — same assertions, driven entirely by the injected env fixture.","904","shows the environment-appropriate banner and title","UI Tests","2026-08-28","passed","2026-08-28","environment chrome","","",""
"","1332","authenticate as healthy mock user","setup-healthy-prod","2026-08-28","passed","2026-08-28","","","",""
"In the outage profile, the Gateway API drill-down reflects the mock latency spike (4500ms).","1189","backend API shows the latency spike","UI Tests","2026-08-28","passed","2026-08-28","service detail (outage profile)","","",""
"The dashboard index groups every service under its domain heading and renders one card per service, across all four domains.","1030","renders all four domain sections with their service cards","UI Tests","2026-08-28","passed","2026-08-28","dashboard index (healthy profile)","","",""
"Clicking a service card navigates to that service's dedicated drill-down route.","3797","a card links to its drill-down page","UI Tests","2026-08-28","passed","2026-08-28","dashboard index (healthy profile)","","",""
"Submitting a valid email with the wrong password surfaces an inline error instead of granting access.","763","rejects invalid credentials","UI Tests","2026-08-28","passed","2026-08-28","login","","",""
"The dashboard index groups every service under its domain heading and renders one card per service, across all four domains.","1094","renders all four domain sections with their service cards","UI Tests","2026-08-28","passed","2026-08-28","dashboard index (healthy profile)","","",""
"","1012","authenticate as healthy mock user","setup-healthy-stage","2026-08-28","passed","2026-08-28","","","",""
"In the outage profile, the ETL pipeline drill-down lists its quarantined rows from the failed validation run.","885","ETL pipeline shows its quarantined rows","UI Tests","2026-08-28","passed","2026-08-28","service detail (outage profile)","","",""
"A valid email/password pair authenticates the user and lands them on the dashboard with service cards rendered.","1311","logs in with valid credentials and reaches the dashboard","UI Tests","2026-08-28","passed","2026-08-28","login","","",""
"In the outage profile, the ETL pipeline drill-down lists its quarantined rows from the failed validation run.","883","ETL pipeline shows its quarantined rows","UI Tests","2026-08-28","passed","2026-08-28","service detail (outage profile)","","",""
"In the healthy mock profile, every one of the 8 services reports an ""operational"" status badge.","945","every service shows as operational","UI Tests","2026-08-28","passed","2026-08-28","dashboard index (healthy profile)","","",""
"An unauthenticated visitor hitting the dashboard root is bounced to the login page instead of seeing any data.","493","redirects unauthenticated visitors to /login","UI Tests","2026-08-28","passed","2026-08-28","login","","",""
"A valid email/password pair authenticates the user and lands them on the dashboard with service cards rendered.","1348","logs in with valid credentials and reaches the dashboard","UI Tests","2026-08-28","passed","2026-08-28","login","","",""
"In the healthy profile, the Gateway API drill-down shows a normal (non-spiked) P95 latency stat.","1126","backend API shows a normal P95 latency","UI Tests","2026-08-28","passed","2026-08-28","service detail (healthy profile)","","",""
"In the healthy mock profile, every one of the 8 services reports an ""operational"" status badge.","765","every service shows as operational","UI Tests","2026-08-28","passed","2026-08-28","dashboard index (healthy profile)","","",""
"Submitting a valid email with the wrong password surfaces an inline error instead of granting access.","601","rejects invalid credentials","UI Tests","2026-08-28","passed","2026-08-28","login","","",""
"In the healthy profile, the Gateway API drill-down shows a normal (non-spiked) P95 latency stat.","1355","backend API shows a normal P95 latency","UI Tests","2026-08-28","passed","2026-08-28","service detail (healthy profile)","","",""
"In the healthy profile, the ETL pipeline drill-down reports zero quarantined rows.","819","ETL pipeline has no quarantined rows","UI Tests","2026-08-28","passed","2026-08-28","service detail (healthy profile)","","",""
"In the outage profile, a failed frontend smoke test surfaces its assertion stack trace on the drill-down page.","968","frontend smoke test shows its failure stack trace","UI Tests","2026-08-28","passed","2026-08-28","service detail (outage profile)","","",""
"","3075","authenticate as outage mock user","setup-outage-stage","2026-08-28","passed","2026-08-28","","","",""
"","3382","authenticate as outage mock user","setup-outage-prod","2026-08-28","passed","2026-08-28","","","",""
"The dashboard shows a staging banner and a ""(Staging)"" title suffix on the stage environment, and neither on prod — same assertions, driven entirely by the injected env fixture.","740","shows the environment-appropriate banner and title","UI Tests","2026-08-28","passed","2026-08-28","environment chrome","","",""
