"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"In the outage profile, the Gateway API drill-down reflects the mock latency spike (4500ms).","823","backend API shows the latency spike","UI Tests","2026-09-16","passed","2026-09-16","service detail (outage profile)","","",""
"In the healthy profile, the ETL pipeline drill-down reports zero quarantined rows.","741","ETL pipeline has no quarantined rows","UI Tests","2026-09-16","passed","2026-09-16","service detail (healthy profile)","","",""
"In the outage profile, the ETL pipeline drill-down lists its quarantined rows from the failed validation run.","753","ETL pipeline shows its quarantined rows","UI Tests","2026-09-16","passed","2026-09-16","service detail (outage profile)","","",""
"","1094","authenticate as healthy mock user","setup-healthy-stage","2026-09-16","passed","2026-09-16","","","",""
"In the outage profile, a failed frontend smoke test surfaces its assertion stack trace on the drill-down page.","982","frontend smoke test shows its failure stack trace","UI Tests","2026-09-16","passed","2026-09-16","service detail (outage profile)","","",""
"In the outage profile, the ETL pipeline drill-down lists its quarantined rows from the failed validation run.","1036","ETL pipeline shows its quarantined rows","UI Tests","2026-09-16","passed","2026-09-16","service detail (outage profile)","","",""
"The dashboard shows a staging banner and a ""(Staging)"" title suffix on the stage environment, and neither on prod — same assertions, driven entirely by the injected env fixture.","906","shows the environment-appropriate banner and title","UI Tests","2026-09-16","passed","2026-09-16","environment chrome","","",""
"In the healthy mock profile, every one of the 8 services reports an ""operational"" status badge.","915","every service shows as operational","UI Tests","2026-09-16","passed","2026-09-16","dashboard index (healthy profile)","","",""
"In the outage profile, the Gateway API drill-down reflects the mock latency spike (4500ms).","1168","backend API shows the latency spike","UI Tests","2026-09-16","passed","2026-09-16","service detail (outage profile)","","",""
"Clicking a service card navigates to that service's dedicated drill-down route.","3412","a card links to its drill-down page","UI Tests","2026-09-16","passed","2026-09-16","dashboard index (healthy profile)","","",""
"In the healthy mock profile, every one of the 8 services reports an ""operational"" status badge.","787","every service shows as operational","UI Tests","2026-09-16","passed","2026-09-16","dashboard index (healthy profile)","","",""
"In the healthy profile, the Gateway API drill-down shows a normal (non-spiked) P95 latency stat.","955","backend API shows a normal P95 latency","UI Tests","2026-09-16","passed","2026-09-16","service detail (healthy profile)","","",""
"An unauthenticated visitor hitting the dashboard root is bounced to the login page instead of seeing any data.","378","redirects unauthenticated visitors to /login","UI Tests","2026-09-16","passed","2026-09-16","login","","",""
"A valid email/password pair authenticates the user and lands them on the dashboard with service cards rendered.","1153","logs in with valid credentials and reaches the dashboard","UI Tests","2026-09-16","passed","2026-09-16","login","","",""
"","3217","authenticate as outage mock user","setup-outage-prod","2026-09-16","passed","2026-09-16","","","",""
"In the healthy profile, the Gateway API drill-down shows a normal (non-spiked) P95 latency stat.","1031","backend API shows a normal P95 latency","UI Tests","2026-09-16","passed","2026-09-16","service detail (healthy profile)","","",""
"The dashboard index groups every service under its domain heading and renders one card per service, across all four domains.","1016","renders all four domain sections with their service cards","UI Tests","2026-09-16","passed","2026-09-16","dashboard index (healthy profile)","","",""
"","1159","authenticate as healthy mock user","setup-healthy-prod","2026-09-16","passed","2026-09-16","","","",""
"Submitting a valid email with the wrong password surfaces an inline error instead of granting access.","539","rejects invalid credentials","UI Tests","2026-09-16","passed","2026-09-16","login","","",""
"In the outage profile, a failed frontend smoke test surfaces its assertion stack trace on the drill-down page.","709","frontend smoke test shows its failure stack trace","UI Tests","2026-09-16","passed","2026-09-16","service detail (outage profile)","","",""
"In the healthy profile, the ETL pipeline drill-down reports zero quarantined rows.","863","ETL pipeline has no quarantined rows","UI Tests","2026-09-16","passed","2026-09-16","service detail (healthy profile)","","",""
"The dashboard index groups every service under its domain heading and renders one card per service, across all four domains.","1055","renders all four domain sections with their service cards","UI Tests","2026-09-16","passed","2026-09-16","dashboard index (healthy profile)","","",""
"Submitting a valid email with the wrong password surfaces an inline error instead of granting access.","543","rejects invalid credentials","UI Tests","2026-09-16","passed","2026-09-16","login","","",""
"The dashboard shows a staging banner and a ""(Staging)"" title suffix on the stage environment, and neither on prod — same assertions, driven entirely by the injected env fixture.","734","shows the environment-appropriate banner and title","UI Tests","2026-09-16","passed","2026-09-16","environment chrome","","",""
"A valid email/password pair authenticates the user and lands them on the dashboard with service cards rendered.","1083","logs in with valid credentials and reaches the dashboard","UI Tests","2026-09-16","passed","2026-09-16","login","","",""
"","2597","authenticate as outage mock user","setup-outage-stage","2026-09-16","passed","2026-09-16","","","",""
"An unauthenticated visitor hitting the dashboard root is bounced to the login page instead of seeing any data.","434","redirects unauthenticated visitors to /login","UI Tests","2026-09-16","passed","2026-09-16","login","","",""
"Clicking a service card navigates to that service's dedicated drill-down route.","3083","a card links to its drill-down page","UI Tests","2026-09-16","passed","2026-09-16","dashboard index (healthy profile)","","",""
