"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"The dashboard index groups every service under its domain heading and renders one card per service, across all four domains.","1072","renders all four domain sections with their service cards","UI Tests","2026-08-15","passed","2026-08-15","dashboard index (healthy profile)","","",""
"The dashboard index groups every service under its domain heading and renders one card per service, across all four domains.","1071","renders all four domain sections with their service cards","UI Tests","2026-08-15","passed","2026-08-15","dashboard index (healthy profile)","","",""
"In the healthy profile, the ETL pipeline drill-down reports zero quarantined rows.","890","ETL pipeline has no quarantined rows","UI Tests","2026-08-15","passed","2026-08-15","service detail (healthy profile)","","",""
"A valid email/password pair authenticates the user and lands them on the dashboard with service cards rendered.","978","logs in with valid credentials and reaches the dashboard","UI Tests","2026-08-15","passed","2026-08-15","login","","",""
"In the healthy profile, the ETL pipeline drill-down reports zero quarantined rows.","703","ETL pipeline has no quarantined rows","UI Tests","2026-08-15","passed","2026-08-15","service detail (healthy profile)","","",""
"In the outage profile, the ETL pipeline drill-down lists its quarantined rows from the failed validation run.","994","ETL pipeline shows its quarantined rows","UI Tests","2026-08-15","passed","2026-08-15","service detail (outage profile)","","",""
"An unauthenticated visitor hitting the dashboard root is bounced to the login page instead of seeing any data.","416","redirects unauthenticated visitors to /login","UI Tests","2026-08-15","passed","2026-08-15","login","","",""
"The dashboard shows a staging banner and a ""(Staging)"" title suffix on the stage environment, and neither on prod — same assertions, driven entirely by the injected env fixture.","606","shows the environment-appropriate banner and title","UI Tests","2026-08-15","passed","2026-08-15","environment chrome","","",""
"The dashboard shows a staging banner and a ""(Staging)"" title suffix on the stage environment, and neither on prod — same assertions, driven entirely by the injected env fixture.","562","shows the environment-appropriate banner and title","UI Tests","2026-08-15","passed","2026-08-15","environment chrome","","",""
"In the healthy mock profile, every one of the 8 services reports an ""operational"" status badge.","870","every service shows as operational","UI Tests","2026-08-15","passed","2026-08-15","dashboard index (healthy profile)","","",""
"Clicking a service card navigates to that service's dedicated drill-down route.","3518","a card links to its drill-down page","UI Tests","2026-08-15","passed","2026-08-15","dashboard index (healthy profile)","","",""
"In the outage profile, the Gateway API drill-down reflects the mock latency spike (4500ms).","870","backend API shows the latency spike","UI Tests","2026-08-15","passed","2026-08-15","service detail (outage profile)","","",""
"An unauthenticated visitor hitting the dashboard root is bounced to the login page instead of seeing any data.","408","redirects unauthenticated visitors to /login","UI Tests","2026-08-15","passed","2026-08-15","login","","",""
"In the outage profile, the Gateway API drill-down reflects the mock latency spike (4500ms).","779","backend API shows the latency spike","UI Tests","2026-08-15","passed","2026-08-15","service detail (outage profile)","","",""
"In the outage profile, a failed frontend smoke test surfaces its assertion stack trace on the drill-down page.","871","frontend smoke test shows its failure stack trace","UI Tests","2026-08-15","passed","2026-08-15","service detail (outage profile)","","",""
"In the healthy profile, the Gateway API drill-down shows a normal (non-spiked) P95 latency stat.","1174","backend API shows a normal P95 latency","UI Tests","2026-08-15","passed","2026-08-15","service detail (healthy profile)","","",""
"Submitting a valid email with the wrong password surfaces an inline error instead of granting access.","533","rejects invalid credentials","UI Tests","2026-08-15","passed","2026-08-15","login","","",""
"A valid email/password pair authenticates the user and lands them on the dashboard with service cards rendered.","1023","logs in with valid credentials and reaches the dashboard","UI Tests","2026-08-15","passed","2026-08-15","login","","",""
"Clicking a service card navigates to that service's dedicated drill-down route.","3594","a card links to its drill-down page","UI Tests","2026-08-15","passed","2026-08-15","dashboard index (healthy profile)","","",""
"In the healthy mock profile, every one of the 8 services reports an ""operational"" status badge.","964","every service shows as operational","UI Tests","2026-08-15","passed","2026-08-15","dashboard index (healthy profile)","","",""
"In the healthy profile, the Gateway API drill-down shows a normal (non-spiked) P95 latency stat.","910","backend API shows a normal P95 latency","UI Tests","2026-08-15","passed","2026-08-15","service detail (healthy profile)","","",""
"In the outage profile, the ETL pipeline drill-down lists its quarantined rows from the failed validation run.","1077","ETL pipeline shows its quarantined rows","UI Tests","2026-08-15","passed","2026-08-15","service detail (outage profile)","","",""
"","1175","authenticate as healthy mock user","setup-healthy-stage","2026-08-15","passed","2026-08-15","","","",""
"","3504","authenticate as outage mock user","setup-outage-prod","2026-08-15","passed","2026-08-15","","","",""
"","1116","authenticate as healthy mock user","setup-healthy-prod","2026-08-15","passed","2026-08-15","","","",""
"Submitting a valid email with the wrong password surfaces an inline error instead of granting access.","540","rejects invalid credentials","UI Tests","2026-08-15","passed","2026-08-15","login","","",""
"In the outage profile, a failed frontend smoke test surfaces its assertion stack trace on the drill-down page.","1212","frontend smoke test shows its failure stack trace","UI Tests","2026-08-15","passed","2026-08-15","service detail (outage profile)","","",""
"","2898","authenticate as outage mock user","setup-outage-stage","2026-08-15","passed","2026-08-15","","","",""
