"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3386","authenticate as outage mock user","setup-outage-stage","2026-07-21","passed","2026-07-21","","","",""
"Submitting a valid email with the wrong password surfaces an inline error instead of granting access.","686","rejects invalid credentials","UI Tests","2026-07-21","passed","2026-07-21","login","","",""
"In the healthy profile, the ETL pipeline drill-down reports zero quarantined rows.","964","ETL pipeline has no quarantined rows","UI Tests","2026-07-21","passed","2026-07-21","service detail (healthy profile)","","",""
"Clicking a service card navigates to that service's dedicated drill-down route.","3924","a card links to its drill-down page","UI Tests","2026-07-21","passed","2026-07-21","dashboard index (healthy profile)","","",""
"In the healthy profile, the ETL pipeline drill-down reports zero quarantined rows.","1020","ETL pipeline has no quarantined rows","UI Tests","2026-07-21","passed","2026-07-21","service detail (healthy profile)","","",""
"In the healthy profile, the Gateway API drill-down shows a normal (non-spiked) P95 latency stat.","1236","backend API shows a normal P95 latency","UI Tests","2026-07-21","passed","2026-07-21","service detail (healthy profile)","","",""
"","1134","authenticate as healthy mock user","setup-healthy-stage","2026-07-21","passed","2026-07-21","","","",""
"The dashboard shows a staging banner and a ""(Staging)"" title suffix on the stage environment, and neither on prod — same assertions, driven entirely by the injected env fixture.","920","shows the environment-appropriate banner and title","UI Tests","2026-07-21","passed","2026-07-21","environment chrome","","",""
"The dashboard index groups every service under its domain heading and renders one card per service, across all four domains.","1105","renders all four domain sections with their service cards","UI Tests","2026-07-21","passed","2026-07-21","dashboard index (healthy profile)","","",""
"A valid email/password pair authenticates the user and lands them on the dashboard with service cards rendered.","1569","logs in with valid credentials and reaches the dashboard","UI Tests","2026-07-21","passed","2026-07-21","login","","",""
"In the outage profile, a failed frontend smoke test surfaces its assertion stack trace on the drill-down page.","964","frontend smoke test shows its failure stack trace","UI Tests","2026-07-21","passed","2026-07-21","service detail (outage profile)","","",""
"The dashboard index groups every service under its domain heading and renders one card per service, across all four domains.","1218","renders all four domain sections with their service cards","UI Tests","2026-07-21","passed","2026-07-21","dashboard index (healthy profile)","","",""
"","3900","authenticate as outage mock user","setup-outage-prod","2026-07-21","passed","2026-07-21","","","",""
"Clicking a service card navigates to that service's dedicated drill-down route.","4045","a card links to its drill-down page","UI Tests","2026-07-21","passed","2026-07-21","dashboard index (healthy profile)","","",""
"In the outage profile, a failed frontend smoke test surfaces its assertion stack trace on the drill-down page.","986","frontend smoke test shows its failure stack trace","UI Tests","2026-07-21","passed","2026-07-21","service detail (outage profile)","","",""
"In the outage profile, the Gateway API drill-down reflects the mock latency spike (4500ms).","1024","backend API shows the latency spike","UI Tests","2026-07-21","passed","2026-07-21","service detail (outage profile)","","",""
"The dashboard shows a staging banner and a ""(Staging)"" title suffix on the stage environment, and neither on prod — same assertions, driven entirely by the injected env fixture.","724","shows the environment-appropriate banner and title","UI Tests","2026-07-21","passed","2026-07-21","environment chrome","","",""
"","1531","authenticate as healthy mock user","setup-healthy-prod","2026-07-21","passed","2026-07-21","","","",""
"In the outage profile, the Gateway API drill-down reflects the mock latency spike (4500ms).","1135","backend API shows the latency spike","UI Tests","2026-07-21","passed","2026-07-21","service detail (outage profile)","","",""
"In the healthy profile, the Gateway API drill-down shows a normal (non-spiked) P95 latency stat.","1179","backend API shows a normal P95 latency","UI Tests","2026-07-21","passed","2026-07-21","service detail (healthy profile)","","",""
"Submitting a valid email with the wrong password surfaces an inline error instead of granting access.","634","rejects invalid credentials","UI Tests","2026-07-21","passed","2026-07-21","login","","",""
"In the outage profile, the ETL pipeline drill-down lists its quarantined rows from the failed validation run.","899","ETL pipeline shows its quarantined rows","UI Tests","2026-07-21","passed","2026-07-21","service detail (outage profile)","","",""
"An unauthenticated visitor hitting the dashboard root is bounced to the login page instead of seeing any data.","498","redirects unauthenticated visitors to /login","UI Tests","2026-07-21","passed","2026-07-21","login","","",""
"A valid email/password pair authenticates the user and lands them on the dashboard with service cards rendered.","1388","logs in with valid credentials and reaches the dashboard","UI Tests","2026-07-21","passed","2026-07-21","login","","",""
"In the healthy mock profile, every one of the 8 services reports an ""operational"" status badge.","1168","every service shows as operational","UI Tests","2026-07-21","passed","2026-07-21","dashboard index (healthy profile)","","",""
"In the outage profile, the ETL pipeline drill-down lists its quarantined rows from the failed validation run.","941","ETL pipeline shows its quarantined rows","UI Tests","2026-07-21","passed","2026-07-21","service detail (outage profile)","","",""
"In the healthy mock profile, every one of the 8 services reports an ""operational"" status badge.","931","every service shows as operational","UI Tests","2026-07-21","passed","2026-07-21","dashboard index (healthy profile)","","",""
"An unauthenticated visitor hitting the dashboard root is bounced to the login page instead of seeing any data.","530","redirects unauthenticated visitors to /login","UI Tests","2026-07-21","passed","2026-07-21","login","","",""
