"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3276","authenticate as outage mock user","setup-outage-prod","2026-09-12","passed","2026-09-12","","","",""
"The dashboard index groups every service under its domain heading and renders one card per service, across all four domains.","1118","renders all four domain sections with their service cards","UI Tests","2026-09-12","passed","2026-09-12","dashboard index (healthy profile)","","",""
"In the healthy profile, the ETL pipeline drill-down reports zero quarantined rows.","709","ETL pipeline has no quarantined rows","UI Tests","2026-09-12","passed","2026-09-12","service detail (healthy profile)","","",""
"","2936","authenticate as outage mock user","setup-outage-stage","2026-09-12","passed","2026-09-12","","","",""
"","991","authenticate as healthy mock user","setup-healthy-prod","2026-09-12","passed","2026-09-12","","","",""
"Submitting a valid email with the wrong password surfaces an inline error instead of granting access.","543","rejects invalid credentials","UI Tests","2026-09-12","passed","2026-09-12","login","","",""
"In the healthy mock profile, every one of the 8 services reports an ""operational"" status badge.","987","every service shows as operational","UI Tests","2026-09-12","passed","2026-09-12","dashboard index (healthy profile)","","",""
"In the healthy profile, the ETL pipeline drill-down reports zero quarantined rows.","668","ETL pipeline has no quarantined rows","UI Tests","2026-09-12","passed","2026-09-12","service detail (healthy profile)","","",""
"","1161","authenticate as healthy mock user","setup-healthy-stage","2026-09-12","passed","2026-09-12","","","",""
"A valid email/password pair authenticates the user and lands them on the dashboard with service cards rendered.","985","logs in with valid credentials and reaches the dashboard","UI Tests","2026-09-12","passed","2026-09-12","login","","",""
"In the outage profile, the ETL pipeline drill-down lists its quarantined rows from the failed validation run.","776","ETL pipeline shows its quarantined rows","UI Tests","2026-09-12","passed","2026-09-12","service detail (outage profile)","","",""
"In the healthy profile, the Gateway API drill-down shows a normal (non-spiked) P95 latency stat.","1037","backend API shows a normal P95 latency","UI Tests","2026-09-12","passed","2026-09-12","service detail (healthy profile)","","",""
"Clicking a service card navigates to that service's dedicated drill-down route.","3438","a card links to its drill-down page","UI Tests","2026-09-12","passed","2026-09-12","dashboard index (healthy profile)","","",""
"In the outage profile, the Gateway API drill-down reflects the mock latency spike (4500ms).","975","backend API shows the latency spike","UI Tests","2026-09-12","passed","2026-09-12","service detail (outage profile)","","",""
"Submitting a valid email with the wrong password surfaces an inline error instead of granting access.","524","rejects invalid credentials","UI Tests","2026-09-12","passed","2026-09-12","login","","",""
"In the outage profile, a failed frontend smoke test surfaces its assertion stack trace on the drill-down page.","862","frontend smoke test shows its failure stack trace","UI Tests","2026-09-12","passed","2026-09-12","service detail (outage profile)","","",""
"In the healthy mock profile, every one of the 8 services reports an ""operational"" status badge.","867","every service shows as operational","UI Tests","2026-09-12","passed","2026-09-12","dashboard index (healthy profile)","","",""
"In the healthy profile, the Gateway API drill-down shows a normal (non-spiked) P95 latency stat.","900","backend API shows a normal P95 latency","UI Tests","2026-09-12","passed","2026-09-12","service detail (healthy profile)","","",""
"The dashboard shows a staging banner and a ""(Staging)"" title suffix on the stage environment, and neither on prod — same assertions, driven entirely by the injected env fixture.","907","shows the environment-appropriate banner and title","UI Tests","2026-09-12","passed","2026-09-12","environment chrome","","",""
"In the outage profile, the ETL pipeline drill-down lists its quarantined rows from the failed validation run.","800","ETL pipeline shows its quarantined rows","UI Tests","2026-09-12","passed","2026-09-12","service detail (outage profile)","","",""
"In the outage profile, the Gateway API drill-down reflects the mock latency spike (4500ms).","1082","backend API shows the latency spike","UI Tests","2026-09-12","passed","2026-09-12","service detail (outage profile)","","",""
"In the outage profile, a failed frontend smoke test surfaces its assertion stack trace on the drill-down page.","1062","frontend smoke test shows its failure stack trace","UI Tests","2026-09-12","passed","2026-09-12","service detail (outage profile)","","",""
"The dashboard shows a staging banner and a ""(Staging)"" title suffix on the stage environment, and neither on prod — same assertions, driven entirely by the injected env fixture.","732","shows the environment-appropriate banner and title","UI Tests","2026-09-12","passed","2026-09-12","environment chrome","","",""
"Clicking a service card navigates to that service's dedicated drill-down route.","3368","a card links to its drill-down page","UI Tests","2026-09-12","passed","2026-09-12","dashboard index (healthy profile)","","",""
"A valid email/password pair authenticates the user and lands them on the dashboard with service cards rendered.","1046","logs in with valid credentials and reaches the dashboard","UI Tests","2026-09-12","passed","2026-09-12","login","","",""
"An unauthenticated visitor hitting the dashboard root is bounced to the login page instead of seeing any data.","384","redirects unauthenticated visitors to /login","UI Tests","2026-09-12","passed","2026-09-12","login","","",""
"The dashboard index groups every service under its domain heading and renders one card per service, across all four domains.","1005","renders all four domain sections with their service cards","UI Tests","2026-09-12","passed","2026-09-12","dashboard index (healthy profile)","","",""
"An unauthenticated visitor hitting the dashboard root is bounced to the login page instead of seeing any data.","417","redirects unauthenticated visitors to /login","UI Tests","2026-09-12","passed","2026-09-12","login","","",""
