"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"In the outage profile, the ETL pipeline drill-down lists its quarantined rows from the failed validation run.","1028","ETL pipeline shows its quarantined rows","UI Tests","2026-08-02","passed","2026-08-02","service detail (outage profile)","","",""
"In the healthy profile, the ETL pipeline drill-down reports zero quarantined rows.","1095","ETL pipeline has no quarantined rows","UI Tests","2026-08-02","passed","2026-08-02","service detail (healthy profile)","","",""
"In the outage profile, the Gateway API drill-down reflects the mock latency spike (4500ms).","975","backend API shows the latency spike","UI Tests","2026-08-02","passed","2026-08-02","service detail (outage profile)","","",""
"In the outage profile, a failed frontend smoke test surfaces its assertion stack trace on the drill-down page.","1135","frontend smoke test shows its failure stack trace","UI Tests","2026-08-02","passed","2026-08-02","service detail (outage profile)","","",""
"An unauthenticated visitor hitting the dashboard root is bounced to the login page instead of seeing any data.","471","redirects unauthenticated visitors to /login","UI Tests","2026-08-02","passed","2026-08-02","login","","",""
"The dashboard index groups every service under its domain heading and renders one card per service, across all four domains.","1087","renders all four domain sections with their service cards","UI Tests","2026-08-02","passed","2026-08-02","dashboard index (healthy profile)","","",""
"In the outage profile, the Gateway API drill-down reflects the mock latency spike (4500ms).","958","backend API shows the latency spike","UI Tests","2026-08-02","passed","2026-08-02","service detail (outage profile)","","",""
"A valid email/password pair authenticates the user and lands them on the dashboard with service cards rendered.","1355","logs in with valid credentials and reaches the dashboard","UI Tests","2026-08-02","passed","2026-08-02","login","","",""
"","981","authenticate as healthy mock user","setup-healthy-prod","2026-08-02","passed","2026-08-02","","","",""
"The dashboard shows a staging banner and a ""(Staging)"" title suffix on the stage environment, and neither on prod — same assertions, driven entirely by the injected env fixture.","836","shows the environment-appropriate banner and title","UI Tests","2026-08-02","passed","2026-08-02","environment chrome","","",""
"In the outage profile, the ETL pipeline drill-down lists its quarantined rows from the failed validation run.","1126","ETL pipeline shows its quarantined rows","UI Tests","2026-08-02","passed","2026-08-02","service detail (outage profile)","","",""
"In the healthy mock profile, every one of the 8 services reports an ""operational"" status badge.","799","every service shows as operational","UI Tests","2026-08-02","passed","2026-08-02","dashboard index (healthy profile)","","",""
"In the healthy mock profile, every one of the 8 services reports an ""operational"" status badge.","998","every service shows as operational","UI Tests","2026-08-02","passed","2026-08-02","dashboard index (healthy profile)","","",""
"Submitting a valid email with the wrong password surfaces an inline error instead of granting access.","619","rejects invalid credentials","UI Tests","2026-08-02","passed","2026-08-02","login","","",""
"The dashboard index groups every service under its domain heading and renders one card per service, across all four domains.","981","renders all four domain sections with their service cards","UI Tests","2026-08-02","passed","2026-08-02","dashboard index (healthy profile)","","",""
"An unauthenticated visitor hitting the dashboard root is bounced to the login page instead of seeing any data.","463","redirects unauthenticated visitors to /login","UI Tests","2026-08-02","passed","2026-08-02","login","","",""
"Submitting a valid email with the wrong password surfaces an inline error instead of granting access.","623","rejects invalid credentials","UI Tests","2026-08-02","passed","2026-08-02","login","","",""
"In the outage profile, a failed frontend smoke test surfaces its assertion stack trace on the drill-down page.","989","frontend smoke test shows its failure stack trace","UI Tests","2026-08-02","passed","2026-08-02","service detail (outage profile)","","",""
"Clicking a service card navigates to that service's dedicated drill-down route.","3864","a card links to its drill-down page","UI Tests","2026-08-02","passed","2026-08-02","dashboard index (healthy profile)","","",""
"In the healthy profile, the ETL pipeline drill-down reports zero quarantined rows.","1077","ETL pipeline has no quarantined rows","UI Tests","2026-08-02","passed","2026-08-02","service detail (healthy profile)","","",""
"The dashboard shows a staging banner and a ""(Staging)"" title suffix on the stage environment, and neither on prod — same assertions, driven entirely by the injected env fixture.","701","shows the environment-appropriate banner and title","UI Tests","2026-08-02","passed","2026-08-02","environment chrome","","",""
"","3505","authenticate as outage mock user","setup-outage-prod","2026-08-02","passed","2026-08-02","","","",""
"In the healthy profile, the Gateway API drill-down shows a normal (non-spiked) P95 latency stat.","1072","backend API shows a normal P95 latency","UI Tests","2026-08-02","passed","2026-08-02","service detail (healthy profile)","","",""
"","1282","authenticate as healthy mock user","setup-healthy-stage","2026-08-02","passed","2026-08-02","","","",""
"In the healthy profile, the Gateway API drill-down shows a normal (non-spiked) P95 latency stat.","1039","backend API shows a normal P95 latency","UI Tests","2026-08-02","passed","2026-08-02","service detail (healthy profile)","","",""
"Clicking a service card navigates to that service's dedicated drill-down route.","3940","a card links to its drill-down page","UI Tests","2026-08-02","passed","2026-08-02","dashboard index (healthy profile)","","",""
"","3067","authenticate as outage mock user","setup-outage-stage","2026-08-02","passed","2026-08-02","","","",""
"A valid email/password pair authenticates the user and lands them on the dashboard with service cards rendered.","1261","logs in with valid credentials and reaches the dashboard","UI Tests","2026-08-02","passed","2026-08-02","login","","",""
