"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3635","authenticate as outage mock user","setup-outage-prod","2026-07-28","passed","2026-07-28","","","",""
"","3185","authenticate as outage mock user","setup-outage-stage","2026-07-28","passed","2026-07-28","","","",""
"A valid email/password pair authenticates the user and lands them on the dashboard with service cards rendered.","1297","logs in with valid credentials and reaches the dashboard","UI Tests","2026-07-28","passed","2026-07-28","login","","",""
"An unauthenticated visitor hitting the dashboard root is bounced to the login page instead of seeing any data.","498","redirects unauthenticated visitors to /login","UI Tests","2026-07-28","passed","2026-07-28","login","","",""
"In the outage profile, the ETL pipeline drill-down lists its quarantined rows from the failed validation run.","1017","ETL pipeline shows its quarantined rows","UI Tests","2026-07-28","passed","2026-07-28","service detail (outage profile)","","",""
"","1363","authenticate as healthy mock user","setup-healthy-prod","2026-07-28","passed","2026-07-28","","","",""
"Clicking a service card navigates to that service's dedicated drill-down route.","3611","a card links to its drill-down page","UI Tests","2026-07-28","passed","2026-07-28","dashboard index (healthy profile)","","",""
"In the healthy profile, the Gateway API drill-down shows a normal (non-spiked) P95 latency stat.","1334","backend API shows a normal P95 latency","UI Tests","2026-07-28","passed","2026-07-28","service detail (healthy profile)","","",""
"Clicking a service card navigates to that service's dedicated drill-down route.","3746","a card links to its drill-down page","UI Tests","2026-07-28","passed","2026-07-28","dashboard index (healthy profile)","","",""
"In the healthy profile, the Gateway API drill-down shows a normal (non-spiked) P95 latency stat.","1341","backend API shows a normal P95 latency","UI Tests","2026-07-28","passed","2026-07-28","service detail (healthy profile)","","",""
"Submitting a valid email with the wrong password surfaces an inline error instead of granting access.","624","rejects invalid credentials","UI Tests","2026-07-28","passed","2026-07-28","login","","",""
"In the outage profile, the Gateway API drill-down reflects the mock latency spike (4500ms).","964","backend API shows the latency spike","UI Tests","2026-07-28","passed","2026-07-28","service detail (outage profile)","","",""
"In the outage profile, the ETL pipeline drill-down lists its quarantined rows from the failed validation run.","1142","ETL pipeline shows its quarantined rows","UI Tests","2026-07-28","passed","2026-07-28","service detail (outage profile)","","",""
"The dashboard index groups every service under its domain heading and renders one card per service, across all four domains.","1056","renders all four domain sections with their service cards","UI Tests","2026-07-28","passed","2026-07-28","dashboard index (healthy profile)","","",""
"In the healthy profile, the ETL pipeline drill-down reports zero quarantined rows.","1061","ETL pipeline has no quarantined rows","UI Tests","2026-07-28","passed","2026-07-28","service detail (healthy profile)","","",""
"A valid email/password pair authenticates the user and lands them on the dashboard with service cards rendered.","1468","logs in with valid credentials and reaches the dashboard","UI Tests","2026-07-28","passed","2026-07-28","login","","",""
"An unauthenticated visitor hitting the dashboard root is bounced to the login page instead of seeing any data.","489","redirects unauthenticated visitors to /login","UI Tests","2026-07-28","passed","2026-07-28","login","","",""
"The dashboard shows a staging banner and a ""(Staging)"" title suffix on the stage environment, and neither on prod — same assertions, driven entirely by the injected env fixture.","989","shows the environment-appropriate banner and title","UI Tests","2026-07-28","passed","2026-07-28","environment chrome","","",""
"In the outage profile, a failed frontend smoke test surfaces its assertion stack trace on the drill-down page.","1119","frontend smoke test shows its failure stack trace","UI Tests","2026-07-28","passed","2026-07-28","service detail (outage profile)","","",""
"The dashboard shows a staging banner and a ""(Staging)"" title suffix on the stage environment, and neither on prod — same assertions, driven entirely by the injected env fixture.","801","shows the environment-appropriate banner and title","UI Tests","2026-07-28","passed","2026-07-28","environment chrome","","",""
"In the outage profile, the Gateway API drill-down reflects the mock latency spike (4500ms).","1125","backend API shows the latency spike","UI Tests","2026-07-28","passed","2026-07-28","service detail (outage profile)","","",""
"In the healthy profile, the ETL pipeline drill-down reports zero quarantined rows.","1030","ETL pipeline has no quarantined rows","UI Tests","2026-07-28","passed","2026-07-28","service detail (healthy profile)","","",""
"In the healthy mock profile, every one of the 8 services reports an ""operational"" status badge.","982","every service shows as operational","UI Tests","2026-07-28","passed","2026-07-28","dashboard index (healthy profile)","","",""
"In the outage profile, a failed frontend smoke test surfaces its assertion stack trace on the drill-down page.","985","frontend smoke test shows its failure stack trace","UI Tests","2026-07-28","passed","2026-07-28","service detail (outage profile)","","",""
"The dashboard index groups every service under its domain heading and renders one card per service, across all four domains.","1385","renders all four domain sections with their service cards","UI Tests","2026-07-28","passed","2026-07-28","dashboard index (healthy profile)","","",""
"In the healthy mock profile, every one of the 8 services reports an ""operational"" status badge.","1079","every service shows as operational","UI Tests","2026-07-28","passed","2026-07-28","dashboard index (healthy profile)","","",""
"","1081","authenticate as healthy mock user","setup-healthy-stage","2026-07-28","passed","2026-07-28","","","",""
"Submitting a valid email with the wrong password surfaces an inline error instead of granting access.","644","rejects invalid credentials","UI Tests","2026-07-28","passed","2026-07-28","login","","",""
