"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"In the outage profile, the Gateway API drill-down reflects the mock latency spike (4500ms).","1010","backend API shows the latency spike","UI Tests","2026-08-22","passed","2026-08-22","service detail (outage profile)","","",""
"In the outage profile, the ETL pipeline drill-down lists its quarantined rows from the failed validation run.","1023","ETL pipeline shows its quarantined rows","UI Tests","2026-08-22","passed","2026-08-22","service detail (outage profile)","","",""
"In the healthy mock profile, every one of the 8 services reports an ""operational"" status badge.","1166","every service shows as operational","UI Tests","2026-08-22","passed","2026-08-22","dashboard index (healthy profile)","","",""
"The dashboard shows a staging banner and a ""(Staging)"" title suffix on the stage environment, and neither on prod — same assertions, driven entirely by the injected env fixture.","798","shows the environment-appropriate banner and title","UI Tests","2026-08-22","passed","2026-08-22","environment chrome","","",""
"The dashboard index groups every service under its domain heading and renders one card per service, across all four domains.","1215","renders all four domain sections with their service cards","UI Tests","2026-08-22","passed","2026-08-22","dashboard index (healthy profile)","","",""
"In the outage profile, the ETL pipeline drill-down lists its quarantined rows from the failed validation run.","1081","ETL pipeline shows its quarantined rows","UI Tests","2026-08-22","passed","2026-08-22","service detail (outage profile)","","",""
"An unauthenticated visitor hitting the dashboard root is bounced to the login page instead of seeing any data.","487","redirects unauthenticated visitors to /login","UI Tests","2026-08-22","passed","2026-08-22","login","","",""
"In the healthy profile, the ETL pipeline drill-down reports zero quarantined rows.","988","ETL pipeline has no quarantined rows","UI Tests","2026-08-22","passed","2026-08-22","service detail (healthy profile)","","",""
"In the healthy profile, the Gateway API drill-down shows a normal (non-spiked) P95 latency stat.","1130","backend API shows a normal P95 latency","UI Tests","2026-08-22","passed","2026-08-22","service detail (healthy profile)","","",""
"In the outage profile, a failed frontend smoke test surfaces its assertion stack trace on the drill-down page.","1068","frontend smoke test shows its failure stack trace","UI Tests","2026-08-22","passed","2026-08-22","service detail (outage profile)","","",""
"","3338","authenticate as outage mock user","setup-outage-stage","2026-08-22","passed","2026-08-22","","","",""
"An unauthenticated visitor hitting the dashboard root is bounced to the login page instead of seeing any data.","510","redirects unauthenticated visitors to /login","UI Tests","2026-08-22","passed","2026-08-22","login","","",""
"Submitting a valid email with the wrong password surfaces an inline error instead of granting access.","728","rejects invalid credentials","UI Tests","2026-08-22","passed","2026-08-22","login","","",""
"Submitting a valid email with the wrong password surfaces an inline error instead of granting access.","637","rejects invalid credentials","UI Tests","2026-08-22","passed","2026-08-22","login","","",""
"The dashboard shows a staging banner and a ""(Staging)"" title suffix on the stage environment, and neither on prod — same assertions, driven entirely by the injected env fixture.","757","shows the environment-appropriate banner and title","UI Tests","2026-08-22","passed","2026-08-22","environment chrome","","",""
"In the outage profile, a failed frontend smoke test surfaces its assertion stack trace on the drill-down page.","877","frontend smoke test shows its failure stack trace","UI Tests","2026-08-22","passed","2026-08-22","service detail (outage profile)","","",""
"Clicking a service card navigates to that service's dedicated drill-down route.","4010","a card links to its drill-down page","UI Tests","2026-08-22","passed","2026-08-22","dashboard index (healthy profile)","","",""
"Clicking a service card navigates to that service's dedicated drill-down route.","3797","a card links to its drill-down page","UI Tests","2026-08-22","passed","2026-08-22","dashboard index (healthy profile)","","",""
"In the healthy profile, the ETL pipeline drill-down reports zero quarantined rows.","1066","ETL pipeline has no quarantined rows","UI Tests","2026-08-22","passed","2026-08-22","service detail (healthy profile)","","",""
"","3342","authenticate as outage mock user","setup-outage-prod","2026-08-22","passed","2026-08-22","","","",""
"In the healthy mock profile, every one of the 8 services reports an ""operational"" status badge.","720","every service shows as operational","UI Tests","2026-08-22","passed","2026-08-22","dashboard index (healthy profile)","","",""
"A valid email/password pair authenticates the user and lands them on the dashboard with service cards rendered.","1308","logs in with valid credentials and reaches the dashboard","UI Tests","2026-08-22","passed","2026-08-22","login","","",""
"In the outage profile, the Gateway API drill-down reflects the mock latency spike (4500ms).","969","backend API shows the latency spike","UI Tests","2026-08-22","passed","2026-08-22","service detail (outage profile)","","",""
"In the healthy profile, the Gateway API drill-down shows a normal (non-spiked) P95 latency stat.","1284","backend API shows a normal P95 latency","UI Tests","2026-08-22","passed","2026-08-22","service detail (healthy profile)","","",""
"A valid email/password pair authenticates the user and lands them on the dashboard with service cards rendered.","1392","logs in with valid credentials and reaches the dashboard","UI Tests","2026-08-22","passed","2026-08-22","login","","",""
"","1294","authenticate as healthy mock user","setup-healthy-stage","2026-08-22","passed","2026-08-22","","","",""
"","1334","authenticate as healthy mock user","setup-healthy-prod","2026-08-22","passed","2026-08-22","","","",""
"The dashboard index groups every service under its domain heading and renders one card per service, across all four domains.","1012","renders all four domain sections with their service cards","UI Tests","2026-08-22","passed","2026-08-22","dashboard index (healthy profile)","","",""
