"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"In the outage profile, the ETL pipeline drill-down lists its quarantined rows from the failed validation run.","862","ETL pipeline shows its quarantined rows","UI Tests","2026-08-21","passed","2026-08-21","service detail (outage profile)","","",""
"","1153","authenticate as healthy mock user","setup-healthy-prod","2026-08-21","passed","2026-08-21","","","",""
"Submitting a valid email with the wrong password surfaces an inline error instead of granting access.","667","rejects invalid credentials","UI Tests","2026-08-21","passed","2026-08-21","login","","",""
"In the outage profile, a failed frontend smoke test surfaces its assertion stack trace on the drill-down page.","1148","frontend smoke test shows its failure stack trace","UI Tests","2026-08-21","passed","2026-08-21","service detail (outage profile)","","",""
"In the healthy profile, the ETL pipeline drill-down reports zero quarantined rows.","883","ETL pipeline has no quarantined rows","UI Tests","2026-08-21","passed","2026-08-21","service detail (healthy profile)","","",""
"A valid email/password pair authenticates the user and lands them on the dashboard with service cards rendered.","1538","logs in with valid credentials and reaches the dashboard","UI Tests","2026-08-21","passed","2026-08-21","login","","",""
"In the outage profile, the Gateway API drill-down reflects the mock latency spike (4500ms).","955","backend API shows the latency spike","UI Tests","2026-08-21","passed","2026-08-21","service detail (outage profile)","","",""
"","1093","authenticate as healthy mock user","setup-healthy-stage","2026-08-21","passed","2026-08-21","","","",""
"In the outage profile, the ETL pipeline drill-down lists its quarantined rows from the failed validation run.","1098","ETL pipeline shows its quarantined rows","UI Tests","2026-08-21","passed","2026-08-21","service detail (outage profile)","","",""
"","3295","authenticate as outage mock user","setup-outage-stage","2026-08-21","passed","2026-08-21","","","",""
"In the outage profile, the Gateway API drill-down reflects the mock latency spike (4500ms).","1018","backend API shows the latency spike","UI Tests","2026-08-21","passed","2026-08-21","service detail (outage profile)","","",""
"An unauthenticated visitor hitting the dashboard root is bounced to the login page instead of seeing any data.","570","redirects unauthenticated visitors to /login","UI Tests","2026-08-21","passed","2026-08-21","login","","",""
"An unauthenticated visitor hitting the dashboard root is bounced to the login page instead of seeing any data.","503","redirects unauthenticated visitors to /login","UI Tests","2026-08-21","passed","2026-08-21","login","","",""
"In the healthy mock profile, every one of the 8 services reports an ""operational"" status badge.","1261","every service shows as operational","UI Tests","2026-08-21","passed","2026-08-21","dashboard index (healthy profile)","","",""
"Clicking a service card navigates to that service's dedicated drill-down route.","4230","a card links to its drill-down page","UI Tests","2026-08-21","passed","2026-08-21","dashboard index (healthy profile)","","",""
"In the healthy profile, the ETL pipeline drill-down reports zero quarantined rows.","841","ETL pipeline has no quarantined rows","UI Tests","2026-08-21","passed","2026-08-21","service detail (healthy profile)","","",""
"The dashboard index groups every service under its domain heading and renders one card per service, across all four domains.","1061","renders all four domain sections with their service cards","UI Tests","2026-08-21","passed","2026-08-21","dashboard index (healthy profile)","","",""
"In the healthy profile, the Gateway API drill-down shows a normal (non-spiked) P95 latency stat.","1265","backend API shows a normal P95 latency","UI Tests","2026-08-21","passed","2026-08-21","service detail (healthy profile)","","",""
"In the healthy profile, the Gateway API drill-down shows a normal (non-spiked) P95 latency stat.","1235","backend API shows a normal P95 latency","UI Tests","2026-08-21","passed","2026-08-21","service detail (healthy profile)","","",""
"The dashboard index groups every service under its domain heading and renders one card per service, across all four domains.","1138","renders all four domain sections with their service cards","UI Tests","2026-08-21","passed","2026-08-21","dashboard index (healthy profile)","","",""
"A valid email/password pair authenticates the user and lands them on the dashboard with service cards rendered.","1243","logs in with valid credentials and reaches the dashboard","UI Tests","2026-08-21","passed","2026-08-21","login","","",""
"Clicking a service card navigates to that service's dedicated drill-down route.","4316","a card links to its drill-down page","UI Tests","2026-08-21","passed","2026-08-21","dashboard index (healthy profile)","","",""
"In the outage profile, a failed frontend smoke test surfaces its assertion stack trace on the drill-down page.","1037","frontend smoke test shows its failure stack trace","UI Tests","2026-08-21","passed","2026-08-21","service detail (outage profile)","","",""
"Submitting a valid email with the wrong password surfaces an inline error instead of granting access.","638","rejects invalid credentials","UI Tests","2026-08-21","passed","2026-08-21","login","","",""
"In the healthy mock profile, every one of the 8 services reports an ""operational"" status badge.","1026","every service shows as operational","UI Tests","2026-08-21","passed","2026-08-21","dashboard index (healthy profile)","","",""
"The dashboard shows a staging banner and a ""(Staging)"" title suffix on the stage environment, and neither on prod — same assertions, driven entirely by the injected env fixture.","678","shows the environment-appropriate banner and title","UI Tests","2026-08-21","passed","2026-08-21","environment chrome","","",""
"","3627","authenticate as outage mock user","setup-outage-prod","2026-08-21","passed","2026-08-21","","","",""
"The dashboard shows a staging banner and a ""(Staging)"" title suffix on the stage environment, and neither on prod — same assertions, driven entirely by the injected env fixture.","876","shows the environment-appropriate banner and title","UI Tests","2026-08-21","passed","2026-08-21","environment chrome","","",""
